"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\app.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\controllers\quizController.js", "JavaScript", 10, 0, 1, -1, 10
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\middleware\mapMiddleware.js", "JavaScript", 0, 0, 1, -1, 0
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\package-lock.json", "JSON", 0, 267, 0, 0, 267
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\package.json", "JSON", 0, 3, 0, 0, 3
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\routes\quizRoutes.js", "JavaScript", 6, 0, 0, 1, 7
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\services\mapService.js", "JavaScript", 20, 0, 0, 5, 25
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\services\promptService.js", "JavaScript", 30, 0, 0, 6, 36
"c:\Users\quant\Desktop\Gachon stuff\WebDB\itAPI\src\services\quizService.js", "JavaScript", 20, 0, 1, 4, 25
"Total", "-", 87, 270, 3, 14, 374
